keyword,title,price,url,shipping,seller,scraped_at
barraca-camping,Barraca De Camping Automatica Upf 50+ Impermeavel 1500mm Grande Para 5-8 Pessoas 240*240*155cm Joyfox Cor Verde-escuro,416,https://www.mercadolivre.com.br/barraca-de-camping-automatica-upf-50-impermeavel-1500mm-grande-para-5-8-pessoas-240240155cm-joyfox-cor-verde-escuro/p/MLB37448035?searchVariation=MLB37448035,Frete grátis,,2025-05-22 18:19:24.440143
barraca-camping,Xing Tenda De Praia Portátil Com Sombra E Piscina,70,https://produto.mercadolivre.com.br/MLB-5389192860-xing-tenda-de-praia-portatil-com-sombra-e-piscina-_JM?searchVariation=183616223358,,,2025-05-22 18:19:24.442167
barraca-camping,Mor barraca iglu luna 5 pessoas acampamento praia pesca,377,https://www.mercadolivre.com.br/mor-barraca-iglu-luna-5-pessoas-acampamento-praia-pesca/p/MLB28087349?searchVariation=MLB28087349,Frete grátis,Por Grand Commerce,2025-05-22 18:19:24.444199
barraca-camping,Grande Tenda Inflável Para Áreas Externas E Jardim4-5pessoas,2399,https://produto.mercadolivre.com.br/MLB-5397575566-grande-tenda-inflavel-para-areas-externas-e-jardim4-5pessoas-_JM?searchVariation=183676524568,Frete grátis,,2025-05-22 18:19:24.444199
barraca-camping,New Hawaii Barraca Camping De Montanha E Individual Grande,556,https://produto.mercadolivre.com.br/MLB-5394354948-new-hawaii-barraca-camping-de-montanha-e-individual-grande-_JM?searchVariation=188013960491,Frete grátis,,2025-05-22 18:19:24.446216
barraca-camping,Barraca Acampamento Mor Iglu 2 Camping 2 Pessoas Verde,148,https://www.mercadolivre.com.br/barraca-acampamento-mor-iglu-2-camping-2-pessoas-verde/p/MLB23077142?searchVariation=MLB23077142,Frete grátis,,2025-05-22 18:19:24.446216
barraca-camping,Barraca Luna Grande 7 Lugares C/sobreteto Mor Cor Prata/azul,557,https://www.mercadolivre.com.br/barraca-luna-grande-7-lugares-csobreteto-mor-cor-prataazul/p/MLB28068130?searchVariation=MLB28068130,Frete grátis,Por Grand Commerce,2025-05-22 18:19:24.448232
barraca-camping,Joyfox Barraca Camping Acampamento 3-4 Pessoas Automática Upf50+ Grande Varanda 215*215*145cm Cor Verde-claro,328,https://www.mercadolivre.com.br/joyfox-barraca-camping-acampamento-3-4-pessoas-automatica-upf50-grande-varanda-215215145cm-cor-verde-claro/p/MLB38523819?searchVariation=MLB38523819,Frete grátis,,2025-05-22 18:19:24.450000
barraca-camping,Barraca Camping 4 Pessoas Compacta com Bag Tipo Iglu Ontrek Cor Verde,229,https://www.mercadolivre.com.br/barraca-camping-4-pessoas-compacta-com-bag-tipo-iglu-ontrek-cor-verde/p/MLB48694050?searchVariation=MLB48694050,Frete grátis,Por Mega Compras,2025-05-22 18:19:24.450000
barraca-camping,Tenda Iglu Garden Party Para 8-10 Pessoas Bubble Dome Gazebo,3366,https://produto.mercadolivre.com.br/MLB-5399022758-tenda-iglu-garden-party-para-8-10-pessoas-bubble-dome-gazebo-_JM,Frete grátis,Por Top Store,2025-05-22 18:19:24.450000
barraca-camping,Selador De Costuras Coghlan's Seam Seal Impermeábilizador,89,https://produto.mercadolivre.com.br/MLB-4060825965-selador-de-costuras-coghlans-seam-seal-impermeabilizador-_JM?searchVariation=187925063255,Frete grátis,,2025-05-22 18:19:24.452021
barraca-camping,Barraca De Acampamento Ao Ar Livre Automática De Abertura Rá,1003,https://www.mercadolivre.com.br/outdoor-camping-tent-automatic-quick-opening-portable/p/MLB2018523873,Frete grátis,,2025-05-22 18:19:24.452021
barraca-camping,2 Pcs 4 Seção Tarp Abrigo Dossel Tenda Toldo Apoio Rod Alp,170,https://www.mercadolivre.com.br/2-pcs-4-seco-tarp-abrigo-dossel-tenda-toldo-apoio-rod-alp/p/MLB2018489597,Frete grátis,,2025-05-22 18:19:24.454036
barraca-camping,Joyfox Barraca Camping Acampamento 8/12 Pessoas Grande Varanda Cor Verde-escuro,1710,https://www.mercadolivre.com.br/joyfox-barraca-camping-acampamento-812-pessoas-grande-varanda-cor-verde-escuro/p/MLB28813984?searchVariation=MLB28813984,Frete grátis,,2025-05-22 18:19:24.454036
barraca-camping,Barraca De Acampamento Compacta Beach Canopy De Abertura Ráp,821,https://www.mercadolivre.com.br/automatic-sunshade-tent-camping-quick-opening-portable/p/MLB2018504605,Frete grátis,,2025-05-22 18:19:24.456049
barraca-camping,Barraca Camping Lelong Automática 2-3 Pessoas Verde Escuro,599,https://produto.mercadolivre.com.br/MLB-5386178272-barraca-camping-lelong-automatica-2-3-pessoas-verde-escuro-_JM?searchVariation=187926557027,Frete grátis,,2025-05-22 18:19:24.456049
barraca-camping,Barraca De Acampamento Dobrável Shade Canopy De Abertura Ráp,511,https://www.mercadolivre.com.br/automatic-sunshade-tent-camping-quick-opening-portable/p/MLB2018504413,Frete grátis,Por Top Store,2025-05-22 18:19:24.458067
barraca-camping,Barraca De Acampamento Sunshine Shelter Barraca Automática D,511,https://www.mercadolivre.com.br/automatic-sunshade-tent-camping-quick-opening-portable/p/MLB2018954332,Frete grátis,Por Top Store,2025-05-22 18:19:24.458067
barraca-camping,. 2 Peças De Paredes Laterais De Barraca Com,147,https://www.mercadolivre.com.br/-2-pecas-de-paredes-laterais-de-barraca-com/p/MLB2018976588,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,"4 Unidades/conjunto De Suportes De Tenda Retangulares,",82,https://www.mercadolivre.com.br/4-unidsset-soportes-rectangulares-para-tienda-de-campana/p/MLB2018789764,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,Barraca Camping Acampamento 8-12 Pessoas Grande Família Joyfox 380*260*195cm Bege,1297,https://www.mercadolivre.com.br/barraca-camping-acampamento-8-12-pessoas-grande-familia-joyfox-380260195cm-bege/p/MLB37215899?searchVariation=MLB37215899,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,Tenda De Mosquiteiro Portátil Mesh Respirável Dobrável,603,https://www.mercadolivre.com.br/portable-mosquito-net-tent-mesh-breathable-foldable/p/MLB2018398441,Frete grátis,Por Top Store,2025-05-22 18:19:24.460088
barraca-camping,Vg Barraca De Chuveiro Para Praia Ao Ar Livre Acampamento,364,https://www.mercadolivre.com.br/vg-barraca-de-chuveiro-para-praia-ao-ar-livre-acampamento/p/MLB2018511451,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,Barraca Camping 3 - 4 Pessoas Joyfox Autoamatica Impermeavel 1500mm 210*210*135cm Duas Portas E Duas Janelas Ventilação Upf 50+,402,https://www.mercadolivre.com.br/barraca-camping-3-4-pessoas-joyfox-autoamatica-impermeavel-1500mm-210210135cm-duas-portas-e-duas-janelas-ventilaco-upf-50/p/MLB42381699?searchVariation=MLB42381699,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,Barraca De Camping 3/4 Pessoas Para Acampar Upf 50+ Automatica 215*215*145cm Joyfox Cor Verde-claro,328,https://www.mercadolivre.com.br/barraca-de-camping-34-pessoas-para-acampar-upf-50-automatica-215215145cm-joyfox-cor-verde-claro/p/MLB38523815?searchVariation=MLB38523815,Frete grátis,,2025-05-22 18:19:24.460088
barraca-camping,Barracas Acampamento Impermeável Grande 4 Lugares Com Bolsa,599,https://produto.mercadolivre.com.br/MLB-5386254850-barracas-acampamento-impermeavel-grande-4-lugares-com-bolsa-_JM?searchVariation=187926727853,Frete grátis,,2025-05-22 18:19:24.465804
barraca-camping,Barraca Camping 4 Pessoas Compacta Com Bag Tipo Iglu,149,https://produto.mercadolivre.com.br/MLB-4064731787-barraca-camping-4-pessoas-compacta-com-bag-tipo-iglu-_JM?searchVariation=183634338134,Frete grátis,Por DUBAI MAGAZINE,2025-05-22 18:19:24.465804
barraca-camping,Naturehike Ultralight NH18A095-D carpa ultraligera 1 unidad laranja,1119,https://www.mercadolivre.com.br/naturehike-ultralight-nh18a095-d-carpa-ultraligera-1-unidad-laranja/p/MLB32168315?searchVariation=MLB32168315,Frete grátis,Por FretzShop,2025-05-22 18:19:24.465804
barraca-camping,". 5 X 5x Mastros De Liga De Alumínio Para Barraca/dossel, 5",97,https://www.mercadolivre.com.br/byt-tapon-del-extremo-del-poste-del-dosel-de-19-mm-6-piezas/p/MLB2009353489,Frete grátis,,2025-05-22 18:19:24.467824
barraca-camping,. Fita De Vedação De Costura Por Fusão A Quente,34,https://www.mercadolivre.com.br/-cinta-de-sellado-de-costuras-cinta-de-reparacion-de-tela/p/MLB2018944322,,,2025-05-22 18:19:24.467824
barraca-camping,Barraca De Camping Acampamento 4-8 Pessoas 330*210*175cm Impermeavel 2000mm Grande Varanda Cor Verde-escuro,769,https://www.mercadolivre.com.br/barraca-de-camping-acampamento-4-8-pessoas-330210175cm-impermeavel-2000mm-grande-varanda-cor-verde-escuro/p/MLB42266335?searchVariation=MLB42266335,Frete grátis,,2025-05-22 18:19:24.467824
barraca-camping,Nautika barraca de camping panda iglu para 2 pessoas com coluna d'água de 600mm impermeável cor azul,116,https://www.mercadolivre.com.br/nautika-barraca-de-camping-panda-iglu-para-2-pessoas-com-coluna-dagua-de-600mm-impermeavel-cor-azul/p/MLB23494569?searchVariation=MLB23494569,Frete grátis,Por Tubarao Center,2025-05-22 18:19:24.467824
barraca-camping,Trampolim Tenda Trampolim Sombra Capa Verde 14ft 6 Pólos,785,https://www.mercadolivre.com.br/tent-sun-protection-cover-backyard-green-14ft-6-poles/p/MLB2018053450,Frete grátis,,2025-05-22 18:19:24.467824
barraca-camping,Joyfox Barraca De Camping Automatica Barraca Camping Impermeavel 2000mm Para 4-5 Pessoas 240*210*135cm Cor Verde-escuro Joyfox,478,https://www.mercadolivre.com.br/joyfox-barraca-de-camping-automatica-barraca-camping-impermeavel-2000mm-para-4-5-pessoas-240210135cm-cor-verde-escuro-joyfox/p/MLB37903058?searchVariation=MLB37903058,Frete grátis,,2025-05-22 18:19:24.470850
