keyword,title,price,url,shipping,seller,scraped_at
rtx-3060,Placa de vídeo RTX 3060 12GB GALAX,2829,https://www.mercadolivre.com.br/placa-de-video-rtx-3060-12gb-galax/p/MLB17716910,Frete grátis,,2025-05-18 18:20:52.774991
rtx-3060,"Placa De Video Zotac Geforce Rtx 3060, 12gb, Gddr6, 192-bit",2569,https://www.mercadolivre.com.br/placa-de-video-zotac-geforce-rtx-3060-12gb-gddr6-192-bit/p/MLB35344600,Frete grátis,,2025-05-18 18:20:52.774991
rtx-3060,Placa De Vídeo Pcyes Geforce Rtx 3050 6gb Gddr6,1499,https://www.mercadolivre.com.br/placa-de-video-pcyes-geforce-rtx-3050-6gb-gddr6/p/MLB46690622,Frete grátis,,2025-05-18 18:20:52.774991
rtx-3060,Placa de vídeo Nvidia Zotac Gaming GeForce RTX 3060 Series RTX 3060 ZT-A30600H-10M OC Edition 12GB,2729,https://www.mercadolivre.com.br/placa-de-video-nvidia-zotac-gaming-geforce-rtx-3060-series-rtx-3060-zt-a30600h-10m-oc-edition-12gb/p/MLB17707462,Frete grátis,,2025-05-18 18:20:52.775986
rtx-3060,Placa De Video Geforce Rtx 3060 12gb Ddr6 192 Bit Graffiti,2495,https://www.mercadolivre.com.br/placa-de-video-geforce-rtx-3060-12gb-ddr6-192-bit-graffiti/p/MLB36606669,Frete grátis,,2025-05-18 18:20:52.775986
rtx-3060,Placa De Vídeo Geforce Galax Rtx 3060 12gb Gddr6 Ray Tracing,3090,https://produto.mercadolivre.com.br/MLB-5207510096-placa-de-video-geforce-galax-rtx-3060-12gb-gddr6-ray-tracing-_JM,Frete grátis,Por NVIDIA,2025-05-18 18:20:52.775986
rtx-3060,"Placa De Video Zotac Rtx 3060 12gb, Gddr6, 192 Bits",2849,https://produto.mercadolivre.com.br/MLB-4939420102-placa-de-video-zotac-rtx-3060-12gb-gddr6-192-bits-_JM,Frete grátis,,2025-05-18 18:20:52.775986
rtx-3060,Placa De Video Galax Geforce Rtx 3060 1-click Oc 12gb Gddr6,3024,https://produto.mercadolivre.com.br/MLB-3391382495-placa-de-video-galax-geforce-rtx-3060-1-click-oc-12gb-gddr6-_JM,Frete grátis,Por ALLIGATOR SHOP,2025-05-18 18:20:52.775986
rtx-3060,Placa De Vídeo Maxsun Rtx 3060 Ti 8gb Gddr6 Dlss Ray Tracing,2707,https://produto.mercadolivre.com.br/MLB-5386461024-placa-de-video-maxsun-rtx-3060-ti-8gb-gddr6-dlss-ray-tracing-_JM,Frete grátis,,2025-05-18 18:20:52.776991
rtx-3060,Placa De Vídeo Galax Geforce Rtx3060 12gb Gddr6 36nol7md1voc,2299,https://produto.mercadolivre.com.br/MLB-3937151079-placa-de-video-galax-geforce-rtx3060-12gb-gddr6-36nol7md1voc-_JM,Frete grátis,Por Login,2025-05-18 18:20:52.776991
rtx-3060,Placa de vídeo Nvidia Zotac Gaming GeForce RTX 30 Series RTX 3060 ZT-A30600E-10M 12GB,2286,https://www.mercadolivre.com.br/placa-de-video-nvidia-zotac-gaming-geforce-rtx-30-series-rtx-3060-zt-a30600e-10m-12gb/p/MLB17456216,Frete grátis,,2025-05-18 18:20:52.776991
