keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,fabricante,marca,linha,série,modelo,tamanho_da_memória,tipo_de_memória_gráfica,quantidade_de_núcleos,interface_com_a_placa_mãe,bus_de_memória,conectividade,número_de_saídas_de_monitor,resolução_máxima,exigência_de_energia,é_compatível_com_directx,é_compatível_com_opengl
rtx-3060,"Placa De Vídeo Galax Nvidia Geforce Rtx 3060, 12gb, Gddr6",2588,https://produto.mercadolivre.com.br/MLB-3871665581-placa-de-video-galax-nvidia-geforce-rtx-3060-12gb-gddr6-_JM,Frete grátis,2025-05-18 18:20:53.603213,"Placa De Vídeo Galax Nvidia Geforce Rtx 3060, 12gb, Gddr6",2588,Novo,"em 12x R$ 248 , 84",Nvidia,Galax,3060,GeForce RTX 30 Series,36NOL7MD1VOC,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Geforce Rtx 3060 12gb Gddr6 192bits - Msi Ventus 2x 12g Oc,3343,https://produto.mercadolivre.com.br/MLB-4018138407-geforce-rtx-3060-12gb-gddr6-192bits-msi-ventus-2x-12g-oc-_JM,Frete grátis,2025-05-18 18:20:53.603213,Geforce Rtx 3060 12gb Gddr6 192bits - Msi Ventus 2x 12g Oc,3343,Novo,"em 12x R$ 278 , 67 sem juros",Nvidia,MSI,Ventus,GeForce RTX 30 Series,912-V397-050,,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4, HDMI 2.1",4,7680x4320,550 W,Sim,Sim
rtx-3060,Placa De Vídeo Zotac Geforce Rtx 3060 Twin Edge 12gb Gddr6,2955,https://produto.mercadolivre.com.br/MLB-5373870244-placa-de-video-zotac-geforce-rtx-3060-twin-edge-12gb-gddr6-_JM,Frete grátis,2025-05-18 18:20:53.604213,Placa De Vídeo Zotac Geforce Rtx 3060 Twin Edge 12gb Gddr6,2955,Novo,"em 12x R$ 246 , 29 sem juros",AMD,Zotac,Gaming,GeForce RTX 30 Series,RTX3060 12GB GDDR6,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Video Rtx 3060 12gb Gddr6 Zt-a30600p-10m Zotac,2832,https://produto.mercadolivre.com.br/MLB-3979986761-placa-de-video-rtx-3060-12gb-gddr6-zt-a30600p-10m-zotac-_JM,Frete grátis,2025-05-18 18:20:53.604213,Placa De Video Rtx 3060 12gb Gddr6 Zt-a30600p-10m Zotac,2832,Novo,em 12x R$ 236 sem juros,Zotac,Zotac,RTX,,ZT-A30600P-10M,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"HDMI, DisplayPort",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Vídeo Geforce Galax Rtx 3060 12gb Gddr6 Ray Tracing,3090,https://produto.mercadolivre.com.br/MLB-3925267437-placa-de-video-geforce-galax-rtx-3060-12gb-gddr6-ray-tracing-_JM,Frete grátis,2025-05-18 18:20:53.604213,Placa De Vídeo Geforce Galax Rtx 3060 12gb Gddr6 Ray Tracing,3090,Novo  |  +5 vendidos,"em 12x R$ 245 , 10",Nvidia,Galax,3060,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,"Placa De Video Zotac Geforce Rtx 3060, 12gb, Gddr6, 192-bit",2749,https://produto.mercadolivre.com.br/MLB-3807247075-placa-de-video-zotac-geforce-rtx-3060-12gb-gddr6-192-bit-_JM,Frete grátis,2025-05-18 18:20:53.604213,"Placa De Video Zotac Geforce Rtx 3060, 12gb, Gddr6, 192-bit",2749,Novo  |  1 vendido,"em 12x R$ 229 , 08 sem juros",,Zotac,RTX,,A30600P-10M,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"HDMI, DisplayPort",4,8K,600 W,Sim,Sim
rtx-3060,Placa De Vídeo Galax Geforce Rtx 3060 12gb Gddr6 Ray Tracing,2799,https://produto.mercadolivre.com.br/MLB-3553646221-placa-de-video-galax-geforce-rtx-3060-12gb-gddr6-ray-tracing-_JM,Frete grátis,2025-05-18 18:20:53.604213,Placa De Vídeo Galax Geforce Rtx 3060 12gb Gddr6 Ray Tracing,2799,Novo,"em 12x R$ 233 , 25 sem juros",Nvidia,Galax,RTX,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Placa De Vídeo Galax Geforce Rtx 3060 Lhr 15 Gbps 12gb Gddr6,2799,https://produto.mercadolivre.com.br/MLB-5392036650-placa-de-video-galax-geforce-rtx-3060-lhr-15-gbps-12gb-gddr6-_JM,Frete grátis,2025-05-18 18:20:53.604213,Placa De Vídeo Galax Geforce Rtx 3060 Lhr 15 Gbps 12gb Gddr6,2799,Novo,"em 12x R$ 233 , 25 sem juros",Nvidia,Galax,RTX,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Placa De Video Galax Geforce Rtx 3060 1-click Oc 12gb Gddr6,2814,https://produto.mercadolivre.com.br/MLB-1853104683-placa-de-video-galax-geforce-rtx-3060-1-click-oc-12gb-gddr6-_JM,Frete grátis,2025-05-18 18:20:53.605197,Placa De Video Galax Geforce Rtx 3060 1-click Oc 12gb Gddr6,2814,Novo  |  3 vendidos,"em 12x R$ 234 , 58 sem juros",Nvidia,Galax,,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Placa De Vídeo Galax Geforce Rtx 3060 12gb Gddr6 Ray Tracing,3199,https://produto.mercadolivre.com.br/MLB-2130760245-placa-de-video-galax-geforce-rtx-3060-12gb-gddr6-ray-tracing-_JM,Frete grátis,2025-05-18 18:20:53.605197,Placa De Vídeo Galax Geforce Rtx 3060 12gb Gddr6 Ray Tracing,3199,Novo  |  2 vendidos,"em 12x R$ 266 , 58 sem juros",Nvidia,Galax,RTX,GeForce RTX 30 Series,RTX 3060,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
rtx-3060,Placa De Vídeo Galax Geforce Rtx 3060 12gb 192 Bits,3454,https://produto.mercadolivre.com.br/MLB-1839661595-placa-de-video-galax-geforce-rtx-3060-12gb-192-bits-_JM,Frete grátis,2025-05-18 18:20:53.605197,Placa De Vídeo Galax Geforce Rtx 3060 12gb 192 Bits,3454,Novo  |  +50 vendidos,"em 12x R$ 332 , 08",Nvidia,Galax,GeForce,GeForce RTX 30 Series,36NOL7MD1VOC,12 GB,GDDR6,3584,PCI-Express 4.0,192 bit,"3 DisplayPort 1.4a, HDMI 2.1",4,8K,550 W,Sim,Sim
